"","text","favoriteCount","created","truncated","id","statusSource","screenName","retweetCount","isRetweet"
"32","If we aren't doing everything we can to prevent #GunViolence, then we're not doing nearly enough. https://t.co/YoAwfP0Rnk",6211,2016-06-02 22:06:34,FALSE,"738492027961282560","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",2548,FALSE
"33","<U+2714> Supports nuclear proliferation
<U+2714> Alienates our allies
<U+2714> Cozies up to dictators

Trump's foreign policy is...chaos. https://t.co/Sx9s6Nj5uT",3480,2016-06-02 23:11:07,FALSE,"738508272282533888","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",2115,FALSE
"34","RT @TheBriefing2016: Donald Trump has never negotiated a ceasefire, but he can throw a mean pageant! https://t.co/VjJzA6AdEi",0,2016-06-02 23:36:32,FALSE,"738514669569249280","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",2298,TRUE
"35","Abusive payday lenders have preyed on Americans for too long. @CFPB's new rule will protect families; the next president should do the same.",2967,2016-06-03 00:04:48,FALSE,"738521782588735488","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1058,FALSE
"36","Donald Trump's foreign policy is already making Americans less safe, and he's not even president (yet).
https://t.co/JTuxfXlZl8",4535,2016-06-03 01:01:37,FALSE,"738536082220843008","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",2467,FALSE
"37","Some of the (many, many) reasons Donald Trump isn't fit to be Commander-in-Chief. https://t.co/YeEx2FZwjm",4944,2016-06-03 02:03:31,FALSE,"738551659329138688","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",2021,FALSE
"38","Recordatorio para Mr. Trump. https://t.co/d1boHQIp6X",1793,2016-06-03 02:54:27,FALSE,"738564475771576321","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",867,FALSE
"39","Donald Trump's foreign policy team: one ""very good brain"" with very thin skin.
https://t.co/ctG62mBG9k",3726,2016-06-03 12:15:21,FALSE,"738705629389295621","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",2175,FALSE
"40","You literally said all those things. https://t.co/6VX5AfR7gL https://t.co/U8LfWdPU7x",23566,2016-06-03 14:53:29,FALSE,"738745426879369216","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",15415,FALSE
"41","We will never be silenced or intimidated by the gun lobby. Honored to have @Everytown &amp; @MomsDemand's support. -H https://t.co/R13G7fkffd",3242,2016-06-03 15:55:50,FALSE,"738761115161788416","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1369,FALSE
